DMU,u1,u2,u3
38,0.00028545873541435,0.0272375787419821,5.70655811868808e-05
39,0.000283838991711799,0.0270830278694143,5.67417809163253e-05
40,0.000282237525726683,0.0269302209994171,5.64216345138713e-05
41,0.000345418468337532,0.00782510211884422,0.000108394859039169
42,0.000284478808531505,0.030341486350398,6.77445170192773e-05
43,0.000282564588374883,0.0301373225145975,6.72886731529165e-05
44,0.00028067595710096,0.0299358878969729,6.68389229091629e-05
45,0.000278812405016459,0.0297371281354742,6.63951449119319e-05
46,0.000277444336399461,0.0295225047259829,6.53023698889528e-05
47,0.000275644313706318,0.029330966563212,6.48786966244639e-05
48,0.000280543791704929,0.027736192490594,6.16502117549522e-05
49,0.000278824830719289,0.0275662460002737,6.12724657063979e-05
50,0.000277126806444869,0.027398369435111,6.08993205533825e-05
51,0.000275449338687573,0.0272325252069058,6.0530692747289e-05
52,0.000275820065980148,0.0272714069113338,5.7076469693797e-05
53,0.00027425471687653,0.0271166347332782,5.6752546195501e-05
54,0.000272707035016268,0.0269636093845596,5.64322786454259e-05
55,0.000271176722976952,0.0268123014578593,5.61156054968508e-05
56,0.0003356888026665,0.0200768502494529,6.1637809342468e-05
57,0.000339263101681171,0.0182928643842905,6.46903721110136e-05
58,0.000339866271759916,0.018057412881759,6.18820566841734e-05
59,0.00030031112196681,0.0272089594830351,5.92695278678011e-05
60,0.000298541679527366,0.0270486434503584,5.89203099724123e-05
